NS 100
ROOT 3217
UHF -3,-1,+8,-3
LHF +1,-6,-6,-2
PHF -2,+8,+6,-9

ROOT 1020
UHF +7,-5,+1,+2
LHF +8,+0,-4,+3
PHF -9,+6,-9,+1

ROOT 2458
UHF +6,+0,-4,+2
LHF +6,-8,+3,+8
PHF +5,+5,-2,-8

ROOT 0652
UHF +3,+4,+4,-6
LHF +0,-3,+7,-8
PHF +8,-6,-1,-1

ROOT 3243
UHF +3,+1,-3,+7
LHF -4,+2,+4,+6
PHF -4,-8,+1,+7

ROOT 7484
UHF +3,+3,+3,-2
LHF -6,+5,+4,+0
PHF -3,-5,+3,+6

ROOT 4787
UHF -2,+1,-5,+3
LHF +5,-8,+1,-7
PHF +8,-3,-7,-5

ROOT 0362
UHF -9,+2,+6,+4
LHF +5,-5,-1,-5
PHF -2,-8,+4,-9

ROOT 0612
UHF -2,+7,+0,-2
LHF -7,-2,-9,-4
PHF +0,-5,+8,+8

ROOT 8700
UHF +7,+7,+2,-4
LHF +4,+4,+5,-5
PHF +1,+7,+1,-8

ROOT 2308
UHF +7,+7,+2,-4
LHF +4,+4,+5,-5
PHF +1,+7,+1,-8

ROOT 4108
UHF +7,+7,+2,-4
LHF +4,+4,+5,-5
PHF +1,+7,+1,-8

ROOT 3018
UHF +7,+7,+2,-4
LHF +4,+4,+5,-5
PHF +1,+7,+1,-8

ROOT 8419
UHF +7,+8,-1,+7
LHF +4,-4,-4,-9
PHF -5,+0,-6,-4

ROOT 8419
UHF +7,+8,-1,+7
LHF +4,-4,-4,-9
PHF -5,+0,-6,-4

ROOT 3401
UHF -5,+7,-5,-5
LHF -8,-2,-6,+8
PHF -7,-9,+7,-3

ROOT 7206
UHF -6,-4,-1,-6
LHF +5,+7,-1,+6
PHF -1,-6,+7,-8

ROOT 5739
UHF +0,-5,-4,+1
LHF +5,+5,-1,-8
PHF +6,-5,+7,-9

ROOT 1869
UHF +0,-3,+8,+1
LHF -9,-1,-7,+4
PHF -5,+0,-5,-9

ROOT 1350
UHF +4,-1,+6,+6
LHF -5,+5,-6,+2
PHF -7,+5,+2,-8

ROOT 9035
UHF +8,-9,+7,+3
LHF -9,+6,-8,+0
PHF -4,-1,-3,-8

ROOT 8819
UHF -7,+8,-4,+5
LHF -9,+3,-1,-6
PHF +0,+2,-1,-9

ROOT 5449
UHF +6,-6,+2,+3
LHF -5,-8,+7,-9
PHF +6,-3,+4,-6

ROOT 4951
UHF +6,-6,+2,+3
LHF -5,-8,+7,-9
PHF +6,-3,+4,-6

ROOT 8700
UHF -8,-3,-1,+2
LHF -6,-2,+1,+6
PHF -6,-4,-1,-7

ROOT 8562
UHF -8,-3,-1,+2
LHF -6,-2,+1,+6
PHF -6,-4,-1,-7

ROOT 2829
UHF -3,+5,-1,+3
LHF -2,-1,+0,-6
PHF +4,+6,+0,+7

ROOT 2829
UHF -3,+5,-1,+3
LHF -2,-1,+0,-6
PHF +4,+6,+0,+7

ROOT 6037
UHF -3,+5,-1,+3
LHF -2,-1,+0,-6
PHF +4,+6,+0,+7

ROOT 8804
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 4852
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 6064
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 4636
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 4062
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 6284
UHF -3,-8,+4,+4
LHF +4,+2,-4,+5
PHF +0,+1,+0,-4

ROOT 9562
