CN0 2054,LN0 0562,HN0 9912
CN1 3045,LN1 1553,HN1 0903
CN2 4036,LN2 2544,HN2 1994
CN3 5027,LN3 3535,HN3 2985
CN4 6018,LN4 4526,HN4 3976

CN0 1069,LN0 4325,HN0 6720
CN1 5390,LN1 8656,HN1 0051
CN2 9621,LN2 2987,HN2 4382
CN3 3952,LN3 6218,HN3 8613
CN4 7283,LN4 0549,HN4 2944

CN0 5218,LN0 7771,HN0 1971
CN1 4607,LN1 6160,HN1 0360
CN2 3096,LN2 5559,HN2 9759
CN3 2485,LN3 4948,HN3 8148
CN4 1874,LN4 3337,HN4 7537

CN0 0754,LN0 3048,HN0 9612
CN1 6750,LN1 9044,HN1 5618
CN2 2756,LN2 5040,HN2 1614
CN3 8752,LN3 1046,HN3 7610
CN4 4758,LN4 7042,HN4 3616

